Timestamp,Distance,DirectionX,DirectionY,DirectionZ
1723624693.546,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.58,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.612,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.646,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.679,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.712,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.746,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.779,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.813,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.848,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.879,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.913,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.945,2.0318632,0.046129294,0.35958987,1.9992588
1723624693.978,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.012,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.046,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.079,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.114,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.146,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.179,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.212,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.246,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.279,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.313,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.347,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.379,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.412,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.447,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.479,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.512,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.547,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.579,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.612,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.645,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.679,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.713,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.745,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.779,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.812,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.846,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.879,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.929,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.963,2.0318632,0.046129294,0.35958987,1.9992588
1723624694.996,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.012,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.046,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.079,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.113,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.146,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.179,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.212,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.246,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.279,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.312,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.346,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.379,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.413,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.446,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.479,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.512,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.546,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.579,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.613,2.0318632,0.046129294,0.35958987,1.9992588
1723624695.646,2.0318632,0.046129294,0.35958987,1.9992588
